date/time,settlement id ,type ,order id,Sku,description ,quantity,marketplace ,fulfillment,order city ,order state ,order postal ,product sales ,shipping credits ,promotional rebates ,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,selling fees ,fba fees ,other transaction fees ,other ,total 
19-May-2018 7:13:36 AM GMT+00:00,10280094712,"Order
",404-8684361-3779513,SCR,"FREE GOOD QUALITY Bamboo Wood Back Scratcher Massager 18"" Long Self-Massage Back Scratcher With Double ball Rolling massage",1,amazon.in,Merchant,NAVI MUMBAI,MAHARASHTRA,400706,177.68,58.04,0,28.28,0,0,0,-34.27,0,-5.9,0,223.83
19-May-2018 7:13:40 AM GMT+00:00,10280094712,"Order
",408-8801244-3217107,LUFA,LOOFA PACK OF 10 PCS 100% NATURAL RIDGE GOURD FIBER LOOFAH,1,amazon.in,Merchant,BENGALURU,KARNATAKA,560056,266.07,58.04,0,38.89,0,0,0,-12.85,0,-5.9,0,344.25
19-May-2018 6:40:47 PM GMT+00:00,10280094712,"Order
",407-9377616-7417136,MASH,Set of 2 wooden good quality masher and ukhal musali,1,amazon.in,"Amazon
",TIRUCHIRAPPALLI,TAMIL NADU,620019,266.96,44.64,0,37.4,0,0,0,-40.58,-153.2,-23.6,0,131.62
20-May-2018 5:29:27 AM GMT+00:00,10280094712,"Shipping Services
",404-1544209-5842717,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-53.1,0,-53.1
20-May-2018 5:29:27 AM GMT+00:00,10280094712,"Shipping Services
",408-7511664-5360355,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
20-May-2018 5:29:27 AM GMT+00:00,10280094712,"Shipping Services
",408-1644221-8501102,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-53.1,0,-53.1
20-May-2018 5:29:42 AM GMT+00:00,10280094712,"Shipping Services
",402-3693097-4165914,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-53.1,0,-53.1
20-May-2018 5:30:25 AM GMT+00:00,10280094712,"Order
",404-1544209-5842717,AMA LOOFA-1,LOOFAH NATURAL FIBER (PACK OF 10 PCS) 100% NATURAL RIDGE GOURD ORGANIC FIBER,1,amazon.in,Merchant,NEW DELHI,DELHI,110051,266.96,58.04,0,39,0,0,0,-12.88,0,-5.9,0,345.22
20-May-2018 5:30:25 AM GMT+00:00,10280094712,"Order
",408-1644221-8501102,LUFA,LOOFA PACK OF 10 PCS 100% NATURAL RIDGE GOURD FIBER LOOFAH,1,amazon.in,Merchant,CHANDIGARH,CHANDIGARH,160011,266.96,58.04,0,39,0,0,0,-12.88,0,-5.9,0,345.22
20-May-2018 5:30:28 AM GMT+00:00,10280094712,"Order
",408-7511664-5360355,DISPMAN1,JEOGA Pack of 10 PCS Good Quality Men Underwear Brief USE and Through Disposable,1,amazon.in,Merchant,MUMBAI,MAHARASHTRA,400063,355.36,58.04,0,49.6,0,0,0,-71.02,0,-5.9,0,386.08
20-May-2018 5:30:32 AM GMT+00:00,10280094712,"Order
",402-3693097-4165914,DISPMEN,JEOGA Pack of 10 PCS Good Quality Men Underwear Brief USE and Through Disposable,1,amazon.in,Merchant,CHANDIGARH,CHANDIGARH,160022,356.25,58.04,0,49.71,0,0,0,-71.18,0,-5.9,0,386.92
20-May-2018 6:49:29 PM GMT+00:00,10280094712,"Order
",407-0439930-0177941,AMANEEM-1,LOOFAH (PACK OF 10 PCS)100%NATURAL RIDGE GOURD ORGANIC FIBER,1,amazon.in,"Amazon
",JIND,HARYANA,126102,328.58,44.64,0,44.78,0,0,0,-13.03,-94.2,-17.7,0,293.07
21-May-2018 6:32:11 AM GMT+00:00,10280094712,"Shipping Services
",402-5322009-1829113,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
21-May-2018 6:32:11 AM GMT+00:00,10280094712,"Shipping Services
",406-1380595-3667531,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
21-May-2018 6:32:14 AM GMT+00:00,10280094712,"Shipping Services
",402-3851073-8541944,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
21-May-2018 6:32:14 AM GMT+00:00,10280094712,"Shipping Services
",405-4208336-4835545,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
